geocode,n,m,k_avg,intersection_density_km,clean_intersection_density_km,node_density_km,street_density_km,streets_per_node_avg,street_length_avg,int_node_dens
92012,489.0,1001.0,4.0940695296523515,97.73800753408895,70.19180499316619,99.77846698156472,15434.387035915403,3.245398773006135,98.36375032509753,0.0004084999813846473
92014,486.0,1024.0,4.2139917695473255,87.127618407215,68.55943743518557,99.16632914732199,13209.724091589038,2.911522633744856,95.48520501474923,0.00041788609484303584
92019,342.0,715.0,4.181286549707602,59.17332397679707,45.298199733961894,69.78371310367103,10481.591857768228,2.8391812865497075,111.91455991285403,0.0002917857009890338
92020,483.0,1029.0,4.260869565217392,83.25074545701105,61.62187531376799,98.55419131307926,11979.880213317372,2.7971014492753623,90.88495356037154,0.0004199265542905116
92022,312.0,632.0,4.051282051282051,52.64385374487463,40.40109706002007,63.66233476124374,8003.971523370735,2.7724358974358974,93.84287081339707,0.00025791407416093617
92023,327.0,665.0,4.0672782874617734,57.540956418816464,43.46178623123371,66.72302393245738,8519.035111537649,2.8256880733944953,94.67250113378692,0.0002713811065142762
92024,484.0,921.0,3.8057851239669422,94.88136430762289,76.72127522508862,98.75823725782683,13437.9709056134,3.1425619834710745,90.96349999999997,0.00037585263022503517
92025,628.0,1265.0,4.028662420382165,109.16458043995321,90.80044541267137,128.1408533014778,14415.254059130519,2.820063694267516,82.1477895348836,0.0005162362402113675
92026,594.0,1116.0,3.757575757575758,114.67382094813777,82.43456167802074,121.2032911800602,16083.239265088449,3.0942760942760943,90.08189257142855,0.00045543054867658983
92032,469.0,1006.0,4.28997867803838,84.67906707024409,62.642105037505864,95.6975480866132,12562.546671530485,2.833688699360341,96.19882031250003,0.0004105404408321231
92033,254.0,572.0,4.503937007874016,47.54270512618523,37.74849977830158,51.82766996588433,7673.410155317548,2.984251968503937,102.46944414168941,0.00023342856079122706
92035,562.0,1138.0,4.049822064056939,105.28770748974927,82.63860762276832,114.67382094813777,14894.060519329281,3.065836298932384,88.37004963680376,0.0004644085702454832
92036,495.0,1005.0,4.0606060606060606,93.65708863913743,67.53920771144769,101.00274265005017,13840.555186967935,2.995959595959596,94.2091416666667,0.00041013234894262795
