geocode,minDist_subcenter,Distance2Center,wgt_center,build_vol_density
007-001A,5.73457761202247,11.77305007693688,POINT (3147730.0472679124 2029229.961487029),3390670.0492421766
007-001B,6.564486864949426,11.581130443714734,POINT (3147931.9493361916 2030050.2601147632),913983.262370079
007-002,3.1691783490175367,11.584707090277465,POINT (3148292.3260703553 2026568.5356126525),51097.08404421275
007-003,3.538648777644855,15.145860489975085,POINT (3144757.1618444407 2026029.2921326084),258295.96522820037
007-004,2.63943446652226,14.780941049196153,POINT (3145392.5470628906 2025089.1055411566),1314004.9279445214
007-005,1.8939066296958207,12.476801446474006,POINT (3147722.8016856527 2025380.7556276338),3129070.6692758137
007-006A,1.7782537323557215,11.743795669135135,POINT (3148755.626131321 2024759.2018722116),6170588.547051205
007-006B,2.1947202534101966,11.42350019436631,POINT (3148931.580213858 2025163.5429306212),12381810.718959633
007-007A,2.5579265012788346,10.870316642369229,POINT (3149878.2397193336 2024441.7875680474),5651671.425706221
007-007B,2.767651113090522,10.773246113314167,POINT (3149557.8575728913 2025350.7065930301),92798.43874480792
007-008,1.8505770100901409,14.489817289577934,POINT (3145916.080281694 2024456.9919520223),4463546.132586989
007-009,1.0832009174243524,12.682016485536083,POINT (3147831.9489415083 2024531.0839576584),11634274.095714377
007-010,1.4025935790082165,12.061880677973917,POINT (3148561.5927500855 2024416.6731046785),11989106.711214578
007-011,1.7537535201459973,11.671527377874952,POINT (3149135.1945227585 2024133.869294228),9717022.022527201
007-012,1.927212491743465,11.575166700630747,POINT (3149394.0326821757 2023856.0732890603),17893200.702940244
007-013,1.2633304172213733,14.131643050178527,POINT (3146418.7987550288 2024153.4581937273),5269872.704597595
007-014,0.7164403368042973,13.162175292290254,POINT (3147445.7430593297 2024214.3829089426),8759961.60766494
007-015,0.9804310163343506,12.497009408279897,POINT (3148179.2395765376 2024207.0209158543),8944799.581452398
007-016,1.2435277692615143,15.54796573881968,POINT (3145125.292698177 2023574.8815537216),1947822.488053979
007-017,0.7918911428516721,14.062555411268281,POINT (3146719.474773916 2023633.686026096),1356841.0186530482
007-018,0.19188428671812202,13.410960165652162,POINT (3147420.339838283 2023674.5675746654),8556952.421289649
007-019,0.3649815307287409,13.217510450606923,POINT (3147545.189615755 2023862.173185646),5986856.551305052
007-020,0.6789775822432432,12.777078167395423,POINT (3147973.8028139584 2023986.334710538),9161584.31062051
007-021,1.1598290070983868,12.311719040615863,POINT (3148643.5949925403 2023693.3748141397),8773196.607819552
007-022,0.44528292555784,13.841520995841693,POINT (3147180.5380813912 2023189.8049543398),7948225.8952314565
007-023A,0.5149637718655178,12.981274520952754,POINT (3148012.8668185915 2023453.5746543168),7127421.038710448
007-023B,0.7833420922545088,13.053807422246884,POINT (3148146.591189428 2023057.7956725094),1066418.5573263925
007-024,1.5539615682728432,12.25449924539249,POINT (3149015.4110958544 2023156.0148749866),5656615.371213257
007-025,1.2793210311916052,15.636289954023907,POINT (3145719.1072675954 2022112.1343390485),94040.61606632428
007-026,1.1511829504422366,14.329865759204868,POINT (3147023.036251586 2022452.2749558745),3920321.059228368
007-027A,1.2879052132645536,13.037227485798107,POINT (3147347.628340993 2024778.8599281725),5245781.843045489
007-027B,1.091369887613054,13.512763430849668,POINT (3146965.695982108 2024451.6340935742),15374687.890557326
049-001,3.106520487276259,12.259188031138361,POINT (3171758.148307421 2029659.6598136136),4396662.058606246
049-002,3.9102043411530043,13.221298056116977,POINT (3172719.4799160906 2029280.7443575196),8726829.802917928
049-003,4.426015704144307,14.2894662151208,POINT (3173789.4138434213 2029538.6875240798),5961105.212546129
049-004,3.834720942145205,11.5105774898482,POINT (3170982.4463208155 2028695.7483979554),6538606.188855546
049-005,3.67100559972676,12.014002017227455,POINT (3171502.23752437 2028968.4561367626),9695426.13013674
049-006,4.274370418009223,12.574375890419915,POINT (3172035.416009142 2028510.9223936826),4789352.459789315
049-007,4.586870389180843,13.43402819085922,POINT (3172903.3884946164 2028593.197764016),6093044.743231228
049-008,4.880390175972373,13.88190272158549,POINT (3173348.4685459933 2028537.117814997),5422963.376806131
049-009,4.4038564863465135,11.061699762525157,POINT (3170472.266574565 2028096.230840581),6882708.842771781
049-010,5.08819489812754,12.51476544639641,POINT (3171869.635000052 2027599.609475974),869400.3837987713
049-011,4.915638041055879,13.214053843520855,POINT (3172636.7845825087 2028073.0768022668),3037909.3601902984
049-012A,5.632643915524008,13.904084748229144,POINT (3173273.29582101 2027597.3978574376),2664275.342214443
049-012B,6.03077605955286,14.39241426211982,POINT (3173740.404039017 2027413.7399256036),32002199.70917166
058-001,2.69308382345549,15.746330594226402,POINT (3146468.0717597934 2020661.6871788346),101755.82909254261
