Res_geo_unit,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
35,0.04010389440127405,0.0033270248073236086,0.86239774635962,0.023628849421143718,0.07054248501063876,18.688,16.116,0.935
36,0.04385751416132366,0.021930613750155068,0.7573324174358752,0.016493352376366156,0.1603861022762799,20.266000000000002,15.348,0.937
37,,0.007470114144594056,0.8367447253457113,0.009943129533073495,0.14584203097662118,19.775000000000002,16.547,0.966
38,0.01861156108369244,0.0006596387435310458,0.8808209296152992,0.03580670745545589,0.0641011631020215,16.461000000000002,14.499,0.842
39,0.02424986212999508,,0.8582504628361968,0.008112281887053732,0.10938739314675434,24.457,20.990000000000002,1.0
4,,0.038344769649203705,0.3277325208049009,0.1747618520457445,0.4591608575001509,10.408,3.411,0.54
40,0.010131012744513224,0.006794462609409256,0.8473372066183563,0.010354288337241026,0.1253830296904802,22.968,19.462,0.909
41,0.009680176800511054,0.008241562181399828,0.847999806832588,0.020441302829550763,0.1136371513559503,17.694,15.004,0.933
42,,0.0003943375054250612,0.8467998332280884,0.012083617832740312,0.1407222114337462,23.709,20.077,0.967
43,0.03077660536261458,0.001594785724805115,0.7871941282590631,0.02437370352514354,0.15606077712837368,19.624,15.448,0.968
434,,,0.5180406460156695,0.02168428684516191,0.46027506713916855,10.397,5.386,0.615
44,0.029856712931769027,0.009811880782472108,0.8143375746775271,0.028745999812002397,0.11724783179622938,17.923000000000002,14.595,0.934
446,0.031701217094839654,0.018588255490732352,0.608260158106651,0.047190929185246366,0.2942594401225305,11.865,7.2170000000000005,0.505
447,,0.014581161921065398,0.6472380791900195,0.07817094359191393,0.2600098152970012,15.186,9.829,0.675
45,0.011810362134085753,0.004348935220272681,0.7558070577418441,0.016611072788082538,0.21142257211571502,28.593,21.611,0.966
46,0.021333806398400313,0.012797904496656187,0.8160613030226164,0.009548911066315773,0.1402580750160114,25.318,20.661,0.912
47,0.01206221087919839,0.01041070387296689,0.7472832817039109,0.01899424296672665,0.2112495605771971,21.289,15.909,0.928
48,0.01942254161720496,,0.8998514136054823,0.009307521700137721,0.07141852307717507,29.552,26.593,0.973
49,0.020567278702563595,0.012340007378199718,0.8218823955767681,0.027874744933227526,0.11733557340924108,18.327,15.063,0.916
5,0.010451666564596486,0.03326009462998296,0.5907095905743591,0.0659699935019375,0.29960865472912385,14.794,8.739,0.68
50,0.007206554017492929,0.024651450200326896,0.8532324407675745,0.021044794484047006,0.09386476053055855,24.377,20.8,0.969
51,0.014435707213433306,0.0082292542146306,0.8204237035655703,0.013776141591615774,0.14313519341475003,25.471,20.897000000000002,0.974
52,,0.011665765137506794,0.8759867013371491,0.020283602124528875,0.09206393140081517,23.866,20.906,0.94
53,0.023167598562648946,0.0012411093328969305,0.8566638621361051,0.011446076342943949,0.10748135362540495,29.060000000000002,24.894000000000002,0.989
54,0.020134385175050017,0.014501511791443841,0.7376696430802765,0.029991550242160183,0.19770290971106944,21.308,15.718,0.853
55,0.008187530597949603,0.004659518014726687,0.7640652275237438,0.019338512784789152,0.20374921107879074,22.509,17.198,0.93
56,0.008338298290367464,0.00041629943251499693,0.7888434359087533,0.011251717637237138,0.19115024873112707,23.318,18.394000000000002,0.934
57,0.03375002724302157,,0.7710329473984203,0.0030987534044063327,0.19211827195415176,22.437,17.299,0.981
58,0.010215561498907167,0.005975948052146588,0.795263747774133,0.012137182032033973,0.17640756064277932,22.651,18.013,1.0
59,0.028745728285479527,,0.7060135190869434,0.005686743545239491,0.25955400908233756,17.181,12.13,0.99
6,0.037442342473026614,0.03389580560113331,0.6851471180394113,0.059043142127365576,0.18447159175906322,14.18,9.715,0.829
60,,,0.9172686235656909,0.0018779826555919532,0.08085339377871709,20.337,18.654,0.936
61,,,0.8935184394676656,0.002046698963972375,0.10443486156836208,20.493000000000002,18.311,0.987
62,0.01789363487732195,,0.861964162674976,0.0064726464667684905,0.11366955598093359,25.719,22.169,0.934
63,0.036165010580457145,,0.8533137458910262,0.002771922721709143,0.10774932080680756,30.794,26.277,0.962
64,,,0.8867107975130659,0.008790730538800489,0.10449847194813364,16.824,14.918000000000001,0.974
65,0.008764049311281727,,0.878224904817016,0.002649926082782985,0.1103611197889194,18.07,15.870000000000001,0.924
66,,,0.8893789882709061,0.004217193355425753,0.10640381837366811,20.743000000000002,18.449,0.955
7,0.012825582363080049,0.01449895104506932,0.714535291125219,0.055323805722929886,0.20281636974370176,14.272,10.198,0.742
8,0.016050350339206227,0.04439560480630683,0.510069878299905,0.07944266389496102,0.350041502659621,13.336,6.8020000000000005,0.644
9,0.048566098264238085,0.017167411652728486,0.6737814745887934,0.056456651767625425,0.20402836372661448,12.827,8.642,0.689
