Res_geocode,Share_Distance_2_3_Wheel,Share_Distance_Bike,Share_Distance_Car,Share_Distance_Foot,Share_Distance_Transit,Trip_Weight,HH_PNR,Daily_Distance_Person,Daily_Distance_Person_Car,CarOwnership_HH
058-024,,,0.6481110350259146,0.044515779901870466,0.30737318507221484,77.00962598336363,117,11.957,7.7490000000000006,0.572
058-026A,,,0.5090396894752058,0.03309008170171397,0.45787022882308015,69.23836688465347,110,13.861,7.056,0.847
058-026B,0.016001873732260297,,0.4878680516707316,0.0298348963462607,0.4662951782507474,79.56971927504274,127,19.858,9.688,0.777
065-001A,0.024427800026666092,0.0003324711906368471,0.6685253657342,0.03380194446038409,0.272912418588113,76.61977804326425,204,14.146,9.457,0.853
065-002A,,,0.6854143828635431,0.04628311325016869,0.26830250388628823,67.22850955101448,67,17.475,11.978,0.847
065-003A,,0.0018772667761000473,0.5804831745987985,0.06108293876256173,0.35655661986253967,72.38183448202531,172,11.355,6.591,0.895
065-004,,,0.7484829948059984,0.04033999086790633,0.21117701432609523,50.97442743135593,61,16.983,12.711,0.885
065-005,0.009218406658290955,0.009087754488917344,0.5844270071987389,0.05692456667650463,0.3403422649775483,35.75532939208,57,14.757,8.624,0.906
065-006,,,0.6591917452951599,0.010792563528705182,0.33001569117613494,88.23265852352112,73,21.632,14.26,0.904
065-008,0.013328644908640466,,0.7390248939282944,0.012503657514515239,0.23514280364855003,78.52084176365385,108,22.731,16.798000000000002,0.904
065-017,,,1.0,,,26.912723565,2,7.993,7.993,1.0
065-018,,0.007969700297238426,0.33446127603865883,0.05770836280824893,0.599860660855854,86.55516901358975,126,12.867,4.304,0.644
065-022,,,0.27744483492163186,0.09228662320346058,0.6302685418749076,82.03108146459999,54,9.619,2.669,0.383
065-025,0.033547362736019576,,0.7437778370823249,0.02312472551948357,0.19955007466217206,89.40391230068965,66,18.539,13.789,0.826
065-026A,,0.0025487103577840234,0.6311198781629442,0.04047931940500489,0.32585209207426685,63.77953951123595,97,11.613,7.329,0.801
065-027,0.03267321640555098,0.0025689348655311235,0.6319567172743146,0.01744014598939155,0.3153609854652118,74.48677811420731,180,18.149,11.47,0.864
074-001,,,0.5439998757869413,0.044761432544028805,0.4112386916690298,81.80998694851063,150,11.801,6.42,0.669
074-005A,0.02118455447719799,,0.8459322104143471,0.027957098147410993,0.10492613696104394,69.82861679905405,76,16.904,14.3,0.988
074-007,,,0.6837309357251672,0.036943860530269365,0.27932520374456343,86.98240888141844,148,12.879,8.806000000000001,0.883
074-008,,0.0029849225642302525,0.5380618366638216,0.046587275477445095,0.41236596529450315,54.25840188609196,94,12.57,6.764,0.674
074-009,,0.005750764642999163,0.6418163726948738,0.060840801539045586,0.2915920611230814,60.59958427106667,81,9.913,6.362,0.766
074-012,,,0.45263185157603736,0.08098113106490958,0.4663870173590531,66.19918369756411,76,11.269,5.101,0.769
074-013,,,0.47818361279729465,0.06691541330116804,0.45490097390153733,97.06481976086206,133,9.136000000000001,4.369,0.512
074-016,,,0.5389283919270359,0.07929684311242308,0.38177476496054097,84.94179288734513,119,12.791,6.893,0.733
074-017,,,0.7433441046767084,0.055111580255259154,0.20154431506803247,73.57079386116882,81,13.996,10.404,0.772
074-018,0.006486202750768498,0.002978834927987422,0.57027429756084,0.049022886386797554,0.37123777837360655,78.43147935721649,108,12.791,7.295,0.887
074-020,,,0.5625902929626221,0.06262139581734351,0.3747883112200344,66.54773977019047,104,13.58,7.640000000000001,0.732
