orig_geocode,des_geocode,diff
1157,1187,9.158477783203125
1157,1324,104.68759155273438
1157,1259,-18.90904998779297
1157,1189,94.34893798828125
1157,1326,91.8204345703125
1157,1277,-21.391822814941406
1157,1127,-21.57757568359375
1157,1279,-22.188629150390625
1157,1328,151.72254943847656
1157,1129,15.077423095703125
1157,1069,-19.93968963623047
1157,1108,60.762908935546875
1157,1217,33.385406494140625
1157,1067,-20.749771118164062
1157,1445,-24.52928924560547
1099,1705,44.14561462402344
1099,1156,104.80918884277344
1099,1139,-25.38867950439453
1099,1097,-16.383148193359375
1099,1219,-6.274147033691406
1099,1159,-2.510833740234375
1099,1307,-17.69274139404297
1099,1157,2.443817138671875
1099,1099,0.0
1099,1237,-14.922134399414062
1099,1169,51.23753356933594
1099,1309,-18.375335693359375
1099,1257,-12.592727661132812
1099,1109,95.26608276367188
1099,1465,76.73281860351562
1099,1239,-1.586273193359375
1099,1187,11.602294921875
1099,1324,107.13140869140625
1099,1259,-16.465232849121094
1099,1189,96.79275512695312
1099,1326,94.26425170898438
1099,1277,-18.94800567626953
1099,1127,-19.133758544921875
1099,1279,-19.74481201171875
1099,1328,154.16636657714844
1099,1129,17.521240234375
1099,1069,-17.495872497558594
1099,1108,63.20672607421875
1099,1217,35.8292236328125
1099,1067,-18.305953979492188
1099,1445,-22.085472106933594
1237,1705,59.0677490234375
1237,1156,119.7313232421875
1237,1139,-10.466545104980469
1237,1097,-1.4610137939453125
1237,1219,8.647987365722656
1237,1159,12.411300659179688
1237,1307,-2.7706069946289062
1237,1157,17.365951538085938
1237,1099,14.922134399414062
1237,1237,0.0
1237,1169,66.15966796875
1237,1309,-3.4532012939453125
1237,1257,2.32940673828125
1237,1109,110.18821716308594
1237,1465,91.65495300292969
1237,1239,13.335861206054688
1237,1187,26.524429321289062
1237,1324,122.05354309082031
1237,1259,-1.5430984497070312
1237,1189,111.71488952636719
1237,1326,109.18638610839844
1237,1277,-4.025871276855469
1237,1127,-4.2116241455078125
1237,1279,-4.8226776123046875
1237,1328,169.0885009765625
1237,1129,32.44337463378906
1237,1069,-2.5737380981445312
1237,1108,78.12886047363281
1237,1217,50.75135803222656
1237,1067,-3.383819580078125
1237,1445,-7.163337707519531
1169,1705,-7.0919189453125
1169,1156,53.5716552734375
1169,1139,-76.62621307373047
1169,1097,-67.62068176269531
1169,1219,-57.511680603027344
1169,1159,-53.74836730957031
1169,1307,-68.9302749633789
1169,1157,-48.79371643066406
1169,1099,-51.23753356933594
1169,1237,-66.15966796875
1169,1169,0.0
1169,1309,-69.61286926269531
1169,1257,-63.83026123046875
1169,1109,44.02854919433594
1169,1465,25.495285034179688
1169,1239,-52.82380676269531
1169,1187,-39.63523864746094
1169,1324,55.89387512207031
1169,1259,-67.70276641845703
1169,1189,45.55522155761719
1169,1326,43.02671813964844
1169,1277,-70.18553924560547
1169,1127,-70.37129211425781
1169,1279,-70.98234558105469
1169,1328,102.9288330078125
1169,1129,-33.71629333496094
1169,1069,-68.73340606689453
1169,1108,11.969192504882812
1169,1217,-15.408309936523438
1169,1067,-69.54348754882812
1169,1445,-73.32300567626953
1309,1705,62.52095031738281
1309,1156,123.18452453613281
1309,1139,-7.013343811035156
1309,1097,1.9921875
1309,1219,12.101188659667969
1309,1159,15.864501953125
1309,1307,0.6825942993164062
1309,1157,20.81915283203125
1309,1099,18.375335693359375
1309,1237,3.4532012939453125
1309,1169,69.61286926269531
1309,1309,0.0
1309,1257,5.7826080322265625
1309,1109,113.64141845703125
1309,1465,95.108154296875
1309,1239,16.7890625
1309,1187,29.977630615234375
1309,1324,125.50674438476562
1309,1259,1.9101028442382812
1309,1189,115.1680908203125
1309,1326,112.63958740234375
1309,1277,-0.5726699829101562
1309,1127,-0.7584228515625
1309,1279,-1.369476318359375
1309,1328,172.5417022705078
1309,1129,35.896575927734375
1309,1069,0.8794631958007812
1309,1108,81.58206176757812
1309,1217,54.204559326171875
1309,1067,0.0693817138671875
1309,1445,-3.7101364135742188
1257,1705,56.73834228515625
1257,1156,117.40191650390625
1257,1139,-12.795951843261719
1257,1097,-3.7904205322265625
1257,1219,6.318580627441406
1257,1159,10.081893920898438
1257,1307,-5.100013732910156
1257,1157,15.036544799804688
1257,1099,12.592727661132812
1257,1237,-2.32940673828125
1257,1169,63.83026123046875
1257,1309,-5.7826080322265625
1257,1257,0.0
1257,1109,107.85881042480469
1257,1465,89.32554626464844
1257,1239,11.006454467773438
1257,1187,24.195022583007812
1257,1324,119.72413635253906
1257,1259,-3.8725051879882812
1257,1189,109.38548278808594
1257,1326,106.85697937011719
1257,1277,-6.355278015136719
1257,1127,-6.5410308837890625
1257,1279,-7.1520843505859375
1257,1328,166.75909423828125
1257,1129,30.113967895507812
1257,1069,-4.903144836425781
1257,1108,75.79945373535156
1257,1217,48.42195129394531
1257,1067,-5.713226318359375
1257,1445,-9.492744445800781
1109,1705,-51.12046813964844
1109,1156,9.543106079101562
1109,1139,-120.6547622680664
1109,1097,-111.64923095703125
1109,1219,-101.54022979736328
1109,1159,-97.77691650390625
1109,1307,-112.95882415771484
1109,1157,-92.822265625
1109,1099,-95.26608276367188
1109,1237,-110.18821716308594
1109,1169,-44.02854919433594
1109,1309,-113.64141845703125
1109,1257,-107.85881042480469
1109,1109,0.0
1109,1465,-18.53326416015625
1109,1239,-96.85235595703125
1109,1187,-83.66378784179688
1109,1324,11.865325927734375
1109,1259,-111.73131561279297
1109,1189,1.52667236328125
1109,1326,-1.0018310546875
1109,1277,-114.2140884399414
1109,1127,-114.39984130859375
1109,1279,-115.01089477539062
1109,1328,58.90028381347656
1109,1129,-77.74484252929688
1109,1069,-112.76195526123047
1109,1108,-32.059356689453125
1109,1217,-59.436859130859375
1109,1067,-113.57203674316406
1109,1445,-117.35155487060547
1465,1705,-32.58720397949219
1465,1156,28.076370239257812
1465,1139,-102.12149810791016
1465,1097,-93.115966796875
1465,1219,-83.00696563720703
1465,1159,-79.24365234375
1465,1307,-94.4255599975586
1465,1157,-74.28900146484375
1465,1099,-76.73281860351562
1465,1237,-91.65495300292969
1465,1169,-25.495285034179688
1465,1309,-95.108154296875
1465,1257,-89.32554626464844
1465,1109,18.53326416015625
1465,1465,0.0
1465,1239,-78.319091796875
1465,1187,-65.13052368164062
1465,1324,30.398590087890625
1465,1259,-93.19805145263672
1465,1189,20.0599365234375
1465,1326,17.53143310546875
1465,1277,-95.68082427978516
1465,1127,-95.8665771484375
1465,1279,-96.47763061523438
1465,1328,77.43354797363281
1465,1129,-59.211578369140625
1465,1069,-94.22869110107422
1465,1108,-13.526092529296875
1465,1217,-40.903594970703125
1465,1067,-95.03877258300781
1465,1445,-98.81829071044922
1239,1705,45.73188781738281
1239,1156,106.39546203613281
1239,1139,-23.802406311035156
1239,1097,-14.796875
1239,1219,-4.687873840332031
1239,1159,-0.924560546875
1239,1307,-16.106468200683594
1239,1157,4.03009033203125
1239,1099,1.586273193359375
1239,1237,-13.335861206054688
1239,1169,52.82380676269531
1239,1309,-16.7890625
1239,1257,-11.006454467773438
