geocode,score_spatiotemporal
006-016B,1108.2355881965934
006-016C,1903.0148291720323
134-004B,1182.1000494499337
134-006B,1145.3678926185569
007-001B,336.526702574664
007-006B,2826.233300242767
007-007B,1767.226088917873
058-003B,750.5396601765478
058-026B,2249.4985942718095
065-001B,1370.6821319113424
065-002B,3056.5248373084764
065-003B,1440.961468880413
065-023B,1872.5663635824153
065-026B,1509.6885842438658
065-028B,439.357412795707
074-005B,792.5014462957654
074-011B,4488.1642305506075
074-024B,4970.1039256692
092-003B,1534.0859666809706
092-003C,2490.810870708937
092-004A,3376.0125026357646
106-012B,331.5890366900043
005-011B,678.1290177792812
005-024B,247.63754529810438
123-002B,1703.144600756766
123-004B,677.3709180533009
115-017B,1419.1802179203123
127-004B,1317.679651031069
